title,artists,genres
ssgkobe  what a day (prod. daytrip) (unreleased audio),"flexxovault, ssgkobe",['pluggnb']
Kankan  hat4hat,"kankan, semi","pluggnb, pop rock, post-grunge"
ssgkobe  Out Of LA (unreleased),ssgkobe,['pluggnb']
Summrs!  2020 (Prod. Cortdot) [YP4AM Exclusive],"summrs, yp4am","pluggnb, plugg, glitchcore"
Sofaygo  Space Off A Perc,"sofaygo, edsauce","plugg, glitchcore"
Lucki  Cupid (Balenciaga Princess) [prod. Sachy & Wndws],"lucki, evers","plugg, atl hip hop"
SoFaygo  Late Night Ft. SSG Kobe,"sofaygo, sofaygo archive","pluggnb, plugg, glitchcore"
lil candypaint  trackhawk (prodbycade),"lilcandypaint, hades 𖤐",
yunggoth✰  runnin away (prod. cryjng),"belleb, yunggoth","['cloud rap', 'dark trap', 'emo rap']"
SSG Kobe  Go Hard,"ssgkobe, backend media",['pluggnb']
Yeat  Split  best remix,"yeat, dexter","redneck, pluggnb"
Summrs  Usain (prod. june x yuntec),"summrs, june","cali rap, plugg, glitchcore"
sgpwes  money tall (official fendimix),"omgitsfendi, sgpwes",pluggnb
SoFaygo  Let The Girls Slay,sofaygo,"plugg, glitchcore"
Destroylonely  A Minute,"finesse world, destroy lonely",
Autumn & Summrs  Cliche (prod. luvniko x mike frost),"summrs, autumn, luvniko","emoplugg, pluggnb, plugg, glitchcore"
sofaygo + antguapo  holy ghost (prod. bryceunknwn & cv) [$hmoney + dj banned + bluffa plug],"antguapo, sofaygo, hmoney exclusives","plugg, glitchcore"
lucki x babyface ray  young og,"lucki, babyface ray, vanity6below","detroit trap, detroit hip hop, plugg"
Summrs!  1017 ALYX (prod. Mingo)[YP4AM Exclusive],summrs,"plugg, glitchcore"
Summrs  Chanelly (prod Wifi & Lj),summrs,"plugg, glitchcore"
lil peep  suck my blood (prod lederrick),lederrick,
SoFaygo  I'll Say (Prod. Woods) [Pink Heartz],"sofaygo, skbkirby","plugg, glitchcore"
Iayze  Not A Blood/HotBoy Flow,"iayze, cam.rad",plugg
Izaya Tiji  They Stare [Produced by Zen Beats],"izaya tiji, zen beats   zenbeats","pluggnb, plugg"
SLUMP6S SURGE  SPENT PROD MATTHIAS STYNER TOOM YOUKNOWOZI,"crème de la crème, slump6s",pluggnb
Destroy Lonely  Messy Freestyle (clayco) (Fornever Exclusive),"@forneverradio, destroy lonely",
+ antguapo  holy ghost (prod. bryceunknwn & cv) [$hmoney + dj banned + bluffa plug],"antguapo, sofaygo","plugg, glitchcore"
rocket,"fuck k, ssgkobe",['pluggnb']
I'll Say (Prod. Woods) [Pink Heartz],sofaygo,"plugg, glitchcore"
Go (prod. Its2Ezzy),sofaygo,"plugg, glitchcore"
Space Off A Perc,sofaygo,"plugg, glitchcore"
Late Night Ft. SSG Kobe,sofaygo,"plugg, glitchcore"
Let The Girls Slay,sofaygo,"plugg, glitchcore"
what a day (prod. daytrip) (unreleased audio),ssgkobe,['pluggnb']
Out Of LA (unreleased),ssgkobe,['pluggnb']
Talk (prod. evasion2k & sorrovw),"willow, willows","afrofuturism, pop, post-teen pop"
so tired prod. bugzronin  nuu  ayefourteen,"hitechstef, sofaygo","plugg, glitchcore"
buku (prod by whereis22  cade),wolfacejoeyy,pluggnb
dev & summrs  mia [lulrose  uglyfriend],devstacks,pluggnb
Summrs  Ghost Glocks (prod. Jaxx  Hudson Major  Hurtboy AG),"summrs archived, summrs archive [ntr]",pluggnb
skye (prod. by wisvoo  kabeh  allen core  farsight),wolfacejoeyy,pluggnb
runnin away (prod. cryjng),yunggoth,"['cloud rap', 'dark trap', 'emo rap']"
Move Tha Work,408 darwin,
Cry,weiland,"plugg, pluggnb"
Baby Smoove - Under Cover (Prod By Tye Beats),"franchise, baby smoove","detroit trap, scam rap"
"splittin ya wig ft slump6s (prod mimo, greed, eli.yf)","slump6s, jaybuckk",pluggnb
Famous Chance the Rapper,"chance the rapper, jet hasie","pop rap, chicago rap, hip hop, conscious hip hop, rap"
convenience,jaydes,"pluggnb, sigilkore"
Total'd,toon1,
POLAND REMIX,duwap kaine,"dark plugg, pluggnb, vapor trap"
"MAIN ATTRAKIONZ - ""PERFECT SKIES"" (PRODUCED BY FRIENDZONE)",friendzone,
Izaya Tiji - Wanna Be The Goat ( Prod. BenjiCold ) [ Royale Radio Exclusive ],"royale radio, izaya tiji","pluggnb, plugg"
\RUNNING OUT OF TIME/,ssgkobe,['pluggnb']
ALLDAWGSGOTOHEAVEN (prod. flvd4k),texakotyler,
u,slump6s,pluggnb
Gardena's Finest,"d. savage, d savage","plugg, vapor trap"
POLAND - LIL YACHTY(PROD. F1LTHY),"lil yachty, rd, lil boat","atl hip hop, melodic rap, rap, trap"
Tendencies,d. savage,"plugg, vapor trap"
